Designator,Mid X,Mid Y,Layer,Rotation
J2,137.100000,-108.300000,Bottom,180.000000
R1,128.800000,-89.300000,Bottom,180.000000
U1,147.300000,-97.700000,Bottom,180.000000
C1,133.200000,-90.800000,Top,90.000000
C2,136.400000,-90.800000,Top,90.000000
C3,149.100000,-90.700000,Top,90.000000
C4,161.700000,-90.600000,Top,90.000000
C5,133.100000,-103.000000,Top,90.000000
C6,145.800000,-102.900000,Top,90.000000
C7,158.525000,-103.000000,Top,90.000000
C8,161.700000,-102.800000,Top,90.000000
C9,133.300000,-115.100000,Top,90.000000
C10,145.800000,-115.000000,Top,90.000000
C11,158.500000,-115.000000,Top,90.000000
C12,161.700000,-114.800000,Top,90.000000
D1,128.400000,-90.800000,Top,0.000000
D2,141.100000,-90.700000,Top,0.000000
D3,153.700000,-90.700000,Top,0.000000
D4,166.300000,-90.700000,Top,0.000000
D5,128.400000,-102.800000,Top,0.000000
D6,141.000000,-102.800000,Top,0.000000
D7,153.700000,-102.800000,Top,0.000000
D8,166.300000,-102.800000,Top,0.000000
D9,128.400000,-114.800000,Top,0.000000
D10,141.000000,-114.800000,Top,0.000000
D11,153.700000,-114.800000,Top,0.000000
D12,166.300000,-114.800000,Top,0.000000
