Ref,Val,Package,PosX,PosY,Rot,Side
"C13","1000uF 10V","CP_Radial_D8.0mm_P3.50mm",136.052700,-97.400000,180.000000,bottom
"CN1","XT30U-M","AMASS_XT30U-M_1x02_P5.0mm_Vertical",162.300000,-108.625000,180.000000,bottom
"J2","JST_XH_3pin","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",137.100000,-108.300000,180.000000,bottom
"R1","330","R_0603_1608Metric",128.800000,-89.300000,180.000000,bottom
"REF04","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",170.100000,-87.200000,180.000000,bottom
"REF05","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",170.100000,-118.400000,180.000000,bottom
"REF06","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",124.800000,-118.600000,180.000000,bottom
"SJ1","SJ1","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",147.575000,-108.675000,-90.000000,bottom
"U1","74AHCT125","SOIC-14_3.9x8.7mm_P1.27mm",147.300000,-97.700000,180.000000,bottom
"C1","100nF","C_0603_1608Metric",133.200000,-90.800000,90.000000,top
"C2","100nF","C_0603_1608Metric",136.400000,-90.800000,90.000000,top
"C3","100nF","C_0603_1608Metric",149.100000,-90.700000,90.000000,top
"C4","100nF","C_0603_1608Metric",161.700000,-90.600000,90.000000,top
"C5","100nF","C_0603_1608Metric",133.100000,-103.000000,90.000000,top
"C6","100nF","C_0603_1608Metric",145.800000,-102.900000,90.000000,top
"C7","100nF","C_0603_1608Metric",158.525000,-103.000000,90.000000,top
"C8","100nF","C_0603_1608Metric",161.700000,-102.800000,90.000000,top
"C9","100nF","C_0603_1608Metric",133.300000,-115.100000,90.000000,top
"C10","100nF","C_0603_1608Metric",145.800000,-115.000000,90.000000,top
"C11","100nF","C_0603_1608Metric",158.500000,-115.000000,90.000000,top
"C12","100nF","C_0603_1608Metric",161.700000,-114.800000,90.000000,top
"D1","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",128.400000,-90.800000,0.000000,top
"D2","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",141.100000,-90.700000,0.000000,top
"D3","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",153.700000,-90.700000,0.000000,top
"D4","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",166.300000,-90.700000,0.000000,top
"D5","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",128.400000,-102.800000,0.000000,top
"D6","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",141.000000,-102.800000,0.000000,top
"D7","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",153.700000,-102.800000,0.000000,top
"D8","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",166.300000,-102.800000,0.000000,top
"D9","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",128.400000,-114.800000,0.000000,top
"D10","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",141.000000,-114.800000,0.000000,top
"D11","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",153.700000,-114.800000,0.000000,top
"D12","SK6812RGBW","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",166.300000,-114.800000,0.000000,top
"REF01","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",126.000000,-86.700000,0.000000,top
"REF02","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",169.200000,-86.600000,0.000000,top
"REF03","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",127.400000,-118.500000,0.000000,top
